timestamp,time_s,mode,distance_cm,b_uT,emi_mv,pwm_freq_hz,duty_pct,throughput_mbps,packet_loss_pct,delay_ms,jitter_ms,jitter_us
2026-05-29T11:59:30,0.0,Без помех,20.0,9.0,155.7,0,0,99.152,0.24,8.847,0.0001,0.1
2026-05-29T11:59:30,0.5,Без помех,19.96,9.04,156.34,33,0,99.152,0.241,8.847,0.0001,0.1
2026-05-29T11:59:31,1.0,Без помех,19.85,9.2,159.18,127,1,99.144,0.24,8.848,0.0001,0.1
2026-05-29T11:59:31,1.5,Без помех,19.66,9.38,162.24,280,1,99.144,0.244,8.845,0.0001,0.1
2026-05-29T11:59:32,2.0,Без помех,19.42,9.52,164.78,486,2,99.145,0.276,8.853,0.0002,0.2
2026-05-29T11:59:33,2.5,Без помех,19.11,10.24,177.24,741,4,99.176,0.283,8.84,0.0002,0.2
2026-05-29T11:59:33,3.0,Без помех,18.75,10.63,183.94,1040,5,99.04,0.253,8.846,0.0002,0.2
2026-05-29T11:59:34,3.5,Без помех,18.34,10.54,182.37,1379,7,99.203,0.183,8.86,0.0002,0.2
2026-05-29T11:59:34,4.0,Без помех,17.9,11.53,199.41,1754,9,99.025,0.23,8.831,0.0003,0.3
2026-05-29T11:59:35,4.5,Без помех,17.41,11.89,205.68,2160,11,99.2,0.32,8.859,0.0003,0.3
2026-05-29T11:59:35,5.0,Без помех,16.89,11.62,201.07,2593,13,98.976,0.404,8.836,0.0003,0.3
2026-05-29T11:59:36,5.5,Без помех,16.34,13.42,232.13,3047,15,99.294,0.307,8.87,0.0004,0.4
2026-05-29T11:59:36,6.0,Без помех,15.78,14.44,249.84,3520,18,98.832,0.266,8.823,0.0003,0.3
2026-05-29T11:59:37,6.5,Без помех,15.19,13.95,241.26,4006,20,99.119,0.309,8.849,0.0005,0.5
2026-05-29T11:59:37,7.0,Без помех,14.6,15.47,267.62,4501,23,99.08,0.503,8.879,0.0004,0.4
2026-05-29T11:59:38,7.5,ЭМП-режим A,14.0,16.25,281.09,5000,25,99.128,0.47,8.803,0.0007,0.7
2026-05-29T11:59:38,8.0,ЭМП-режим A,13.4,15.54,268.91,5499,27,98.917,0.334,8.875,0.0006,0.6
2026-05-29T11:59:39,8.5,ЭМП-режим A,12.81,17.35,300.12,5994,30,98.98,0.162,8.835,0.0009,0.9
2026-05-29T11:59:39,9.0,ЭМП-режим A,12.22,18.82,325.59,6480,32,99.129,0.293,8.861,0.0009,0.9
2026-05-29T11:59:40,9.5,ЭМП-режим A,11.66,18.41,318.42,6953,35,98.828,0.449,8.83,0.0011,1.1
2026-05-29T11:59:41,10.0,ЭМП-режим A,11.11,19.55,338.18,7407,37,99.151,0.544,8.852,0.0012,1.2
2026-05-29T11:59:41,10.5,ЭМП-режим A,10.59,20.4,352.85,7840,39,98.884,0.421,8.869,0.0012,1.2
2026-05-29T11:59:42,11.0,ЭМП-режим A,10.1,19.9,344.34,8246,41,99.029,0.394,8.817,0.0013,1.3
2026-05-29T11:59:42,11.5,ЭМП-режим A,9.66,20.74,358.78,8621,43,98.798,0.43,8.869,0.0012,1.2
2026-05-29T11:59:43,12.0,ЭМП-режим A,9.25,21.65,374.59,8960,45,99.093,0.523,8.842,0.0013,1.3
2026-05-29T11:59:43,12.5,ЭМП-режим A,8.89,21.68,375.1,9259,46,98.887,0.496,8.848,0.0012,1.2
2026-05-29T11:59:44,13.0,ЭМП-режим A,8.58,22.13,382.91,9514,48,98.948,0.459,8.847,0.0013,1.3
2026-05-29T11:59:44,13.5,ЭМП-режим A,8.34,22.51,389.37,9720,49,98.91,0.444,8.848,0.0012,1.2
2026-05-29T11:59:45,14.0,ЭМП-режим A,8.15,22.58,390.72,9873,49,98.933,0.47,8.849,0.0013,1.3
2026-05-29T11:59:45,14.5,ЭМП-режим A,8.04,22.74,393.46,9967,50,98.92,0.479,8.847,0.0013,1.3
2026-05-29T11:59:46,15.0,ЭМП-режим A,8.0,22.8,394.44,10000,50,98.921,0.479,8.848,0.0013,1.3
2026-05-29T11:59:46,15.5,ЭМП-режим A,7.99,22.84,395.1,10130,50,98.92,0.481,8.848,0.0013,1.3
2026-05-29T11:59:47,16.0,ЭМП-режим A,7.96,22.96,397.16,10510,50,98.901,0.484,8.848,0.0013,1.3
2026-05-29T11:59:47,16.5,ЭМП-режим A,7.92,23.29,402.94,11120,50,98.907,0.494,8.849,0.0013,1.3
2026-05-29T11:59:48,17.0,ЭМП-режим A,7.85,23.42,405.09,11944,50,98.88,0.547,8.847,0.0013,1.3
